Materials Code,Description,Unit,Rate(Rs),mat_sl
303032732,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 3SOMVA 1250/800A) 4 PNL(1+0+3),SET,1978965.79,137
303037132,SWITCHGEAR(SHUNT TRIP] WITH VCB (12 KV 350MVA 1250/800A) 4 PNL 1+1+2,SET,1899542.21,138
303036732,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 5 PNL(2+1+2),SET,2438023.86,139
303036632,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 7 PNL(2+1+4),SET,339834663.00,140
303042332,SWITCHGEAR(SHUNT TRIP) WITH VCB {12 KV 350MVA 1250/8004) 8 PNL(2+1+5),SET,3878508.00,141
303033632,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 8 PNL(2+2+4),SET,3799.084..42,142
303033932,SWITCHGEAR(SHUNT TRIP) WITH VCR (12 KV 350MVA 1250/13004) 9 PNL (2+1+6),SET,4358669.32,143
303036532,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/8004) 9 PSIL(3+2+4),SET,4337566.07,144
303034232,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 10 PNL(2+1+7),SET,483883076.00,145
303034532,SWITCHGEAR(SHUNT TRIP) WITH VCR (12 KV 350MVA 1250/800A) 10 PNL(2+2+6),SET,4759407.18,146
303034832,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 3SOMVA 1250/800A) 10 PNL{3+2+5),SET,4817727.45,147
303035132,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/000A) 11 PNL(2+1+8),SET,5318992.14,148
303043532,SWITC.HGEAR(SHUNT TRIP) WITH VCR (12 KV 350MVA 1250/8004) 11 PNL(3+2+6),sET,5297888.83,149
303035432,SWITCHGEAR(SHUNT TRIP) WITH VCI3 (12 KV 350MVA 1250/800A) 13 PNL(4+3+6),SET,6237.108.28,150
303043832,SWITCHGEAR(SHUNT TRIP) WITH UGH (12 KY 35014VA 1250/8004) 14 PNL(3+2+9),SET,6738372.97,151
303035732,SWITCHGEAR(SLIUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 14 PNL(3+3+8),SET,665894939.00,152
303036032,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/8004) 14 PNL(4+3+ 7),SET,6717269.66,153
303044132,SWITCHGEAR(SHUNT TRIP) WITH VCS (12 KV 3SOMVA 1250/800A) 15 PNL (4+3+13),SET,7197431.04,154
303062132,"SCADA RMU, 11KV OUTDOOR NON-EXTENSIBLE 3-WAY (2 LBS+ 2 OG)",SET,820192.38,155
303062232,"SCADA RMU, 11KV OUTDOOR NON-EXTENSIBLE 4-WAY (2 LBS+ 2 OG) FOR OIL COOLED 315KVA DTR",SET,870248.23,156
303062332,"SCADA RMU, 11KV OUTDOOR NON-EXTENSIBLE 4-WAY (2 LBS+ 2 OG) FOR OIL COOLED 630KVA DTR",SET,893213.32,157
401010741,SINGLE PHASE 2W STATIC METER (5-30)A WITH P.P. BOX,NOS,1173.14,158
401021541,SINGLE PHASE 2W STATIC METER (5-30)A WITHOUT P.P. BOX,NOS,6781.43,159
401021441,"THREE PHASE 4W (5-30)A, DLMS, WHOLE CURRENT STATIC METER",NOS,7058.15,160
401021741,THREE PHASE 4W STATIC METER (10-60)A WITH PP BOX & LPR,NOS,6546.31,161
401011541,1 PHASE SMART METER WITH BOX AND DATA CARD,NOS,5528.45,162
401022141,3 PHASE SMART METER WITH BOX AND DATA CARD,NOS,7463.26,163
401010541,PREPAID1PHACSTAT.MTR.(5-30A)WHPPBOX,NOS,7410.32,164
401010841,1PHACSTAT.MTR.(10-60A)PRE-PAID WHSLNO,NOS,8056.64,165
401021641,3PH4WACSTAT.MTR.(20-80A)PRE-PAIDWHSLNO,NOS,16303.88,166
401010941,1P 2W 5-30A EXPORT/IMPORT MTR WHSLNO,NOS,2095.44,167
401021241,THREE PHASE STATIC METER (5-30)A IMPORT-EXPORT TYPE,NOS,6106.99,168
401021341,THREE PHASE STATIC METER (20-100)A IMPORT-EXPORT TYPE,NOS,6730.69,169
401034441,3P4W LTCT  EXPORT IMPORT  BLK MTR WHSLNO,NOS,6720.42,170
401034541,3P4W 11KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,9598.76,171
401034641,3P4W 33KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,9598.76,172
401034841,3P4W 132KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,43310.77,173
401034041,3PH 4 W LT TOD METER CT RATIO 200/5 A FOR LT BULK,NOS,6059.98,174
401034141,3PH 4 W DLMS WITH CT RATIO 50/5 A FOR 11KV  BULK,NOS,8819.82,175
401033941,3PH 4 W CT/PT OPERATED  CT RATIO 100/1 A FOR 33 KV BULK,NOS,9243.28,176
401030541,"3 PHASE 4WIRE STATIC 132 KV CT-PT OPERATED HT TRIVECTOR TOD FOR 132 KV BULK,0.2S",NOS,40740.53,177
401033441,"1 PH 2 W STATIC 25 KV CT-PT OPERATED TRIVECTOR TOD ENERGY METER FORTRACTION APPLICATION, 0.2S",NOS,37447.22,178
401030641,"1 PH 2W STATIC 132 KV CT-PT OPERATED TRIVECTOR TOD ENERGY METER FOR 132 KV TRACTION POWER,0.2S",NOS,42755.16,179
401032141,HT 11KV FEEDER METER,NO,8650.04,180
401034241,"3-PH 4-WIRE (1A) AMR,TRI-VECTOR FEEDER METER FOR 33 KV SUB-STN",NOS,9308.63,181
401034741,MULTI-FEEDER METERING RACK WITH SUMMATION UNIT FOR TWO FEEDER SUMMATION,NOS,775530.16,182
401031341,"3PH 4 W CT OPERATED FULLY STATIC AMR,TRI-VECTOR DLMS METER FOR DTR",NOS,6104.51,183
401034340,3PH4W 11KV(1A)BOUNDARY MTR WH SL NO,NOS,12842.64,184
902021440,POLYCARBONATE SECURITY SEAL (PATENTED) 20 CM(LIGHT GREEN COLOUR),NOS,7.16,185
504122141,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 16AMP,NOS,109.23,186
504122241,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 32 AMP,NOS,174.94,187
504122341,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 63 AMP,NOS,385.21,188
504122441,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 100 AMP,NOS,649.37,189
504122541,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 200 AMP,NOS,1385.33,190
504122641,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 300 AMP,NOS,2335.50,191
504122741,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 400 AMP,NOS,3425.13,192
504122841,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 500 AMP,NOS,4080.77,193
113020641,"11KV ""V"" BRACKET FOR PCC POLE 8M LONG",NOS,1294.37,194
113020741,"11KV ""V"" BRACKET FOR PCC POLE 9M LONG",NOS,1314.19,195
113020841,"11 KV ""V"" BRACKET FOR RAIL POLE",NOS,1315.56,196
113020941,"33KV ""V"" BRACKET FOR PCC POLE 9M LONG",NOS,1998.99,197
113021141,"33 KV ""V"" BRACKET FOR RAIL POLE",NOS,2259.30,198
113021241,11 KV TOP ADAPTOR for PCC pole 8M long,NOS,433.67,199
